15:10:42.215 sms [Thread-3] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@7d417077: startup date [Fri Dec 07 21:27:54 CST 2018]; root of context hierarchy
15:11:36.246 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/app/personal/change]}" onto public com.example.demo.util.Result com.example.demo.controller.AndroidController.personalChange(java.lang.Long,java.lang.String) throws java.lang.Exception
15:11:36.246 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/app/news/newslist]}" onto public com.example.demo.util.Result com.example.demo.controller.AndroidController.fnewslist(java.lang.Long) throws java.lang.Exception
15:11:36.246 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/app/news/details]}" onto public com.example.demo.util.Result com.example.demo.controller.AndroidController.newsdetails(java.lang.Long) throws java.lang.Exception
15:11:36.247 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/equipment/searchEquipment]}" onto public com.example.demo.util.Result com.example.demo.controller.EquipmentController.getsearchPunch(java.lang.Integer,java.lang.Integer,java.lang.Long,java.lang.Long)
15:11:36.247 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/equipment/getEquipment]}" onto public java.lang.String com.example.demo.controller.EquipmentController.getEquipment(java.lang.Long)
15:11:36.248 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/guest/enter],methods=[GET]}" onto public com.example.demo.util.Result com.example.demo.controller.GuestController.login() throws java.lang.Exception
15:11:36.249 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/guest/getMessage],methods=[GET]}" onto public com.example.demo.util.Result com.example.demo.controller.GuestController.submitLogin() throws java.lang.Exception
15:11:36.249 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/guest/startQuartz]}" onto public com.example.demo.util.Result com.example.demo.controller.GuestController.startQuartz() throws java.lang.Exception
15:11:36.249 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/guest/stopQuartz]}" onto public com.example.demo.util.Result com.example.demo.controller.GuestController.stopQuartz() throws java.lang.Exception
15:11:36.250 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index]}" onto public java.lang.String com.example.demo.controller.IndexController.ownerLogin(javax.servlet.http.HttpServletRequest)
15:11:36.252 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/login/getLoginData],methods=[POST]}" onto public com.example.demo.util.Result com.example.demo.controller.LoginController.login(java.lang.String,java.lang.String)
15:11:36.253 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/notRole]}" onto public com.example.demo.WebResultPak.WebResult com.example.demo.controller.LoginController.notRole()
15:11:36.253 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/notLogin]}" onto public com.example.demo.WebResultPak.WebResult com.example.demo.controller.LoginController.notLogin()
15:11:36.253 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/login/logOut]}" onto public com.example.demo.util.Result com.example.demo.controller.LoginController.logout()
15:11:36.253 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/loginInfo/searchLoginList]}" onto public com.example.demo.util.Result com.example.demo.controller.LoginController.searchLoginList(java.lang.Integer,java.lang.Integer,java.lang.Long,java.lang.String,java.lang.String,java.lang.String)
15:11:36.254 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/loginInfo/getLoginList]}" onto public com.example.demo.util.Result com.example.demo.controller.LoginController.getLoginList(java.lang.Integer,java.lang.Integer)
15:11:36.254 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/loginInfo/deleteLoginInfo]}" onto public com.example.demo.util.Result com.example.demo.controller.LoginController.deletePunch(java.lang.Long,java.lang.String)
15:11:36.254 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/operateInfo/searchOperateList]}" onto public com.example.demo.util.Result com.example.demo.controller.OperateController.searchLoginList(java.lang.Integer,java.lang.Integer,java.lang.Long,java.lang.String,java.lang.String,java.lang.String)
15:11:36.255 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/operateInfo/getOperateList]}" onto public com.example.demo.util.Result com.example.demo.controller.OperateController.getLoginList(java.lang.Integer,java.lang.Integer)
15:11:36.255 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/operateInfo/deleteOperateInfo]}" onto public com.example.demo.util.Result com.example.demo.controller.OperateController.delete_Operate(java.lang.Long,java.lang.String)
15:11:36.256 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/performance/worklate/overtimeList]}" onto public com.example.demo.util.Result com.example.demo.controller.OvertimeController.getpunchList(java.lang.Integer,java.lang.Integer)
15:11:36.256 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/performance/worklate/deleteOvertime]}" onto public com.example.demo.util.Result com.example.demo.controller.OvertimeController.delete_Overtime(java.lang.Long,java.lang.String)
15:11:36.256 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/performance/worklate/addOvertime]}" onto public com.example.demo.util.Result com.example.demo.controller.OvertimeController.add_Overtime(java.lang.String,java.lang.String,java.lang.Long)
15:11:36.256 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/performance/worklate/updateOvertime]}" onto public com.example.demo.util.Result com.example.demo.controller.OvertimeController.updatePunch(java.lang.Long,java.lang.String)
15:11:36.257 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/performance/worklate/searchOvertime]}" onto public com.example.demo.util.Result com.example.demo.controller.OvertimeController.getsearchPunch(java.lang.Integer,java.lang.Integer,java.lang.Long,java.lang.String,java.lang.String,java.lang.String)
15:11:36.257 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/performance/attendance/addPunch]}" onto public com.example.demo.util.Result com.example.demo.controller.RegisterController.addPunch(java.lang.String,java.lang.String,java.lang.Long)
15:11:36.257 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/performance/attendance/punchList]}" onto public com.example.demo.util.Result com.example.demo.controller.RegisterController.getpunchList(java.lang.Integer,java.lang.Integer)
15:11:36.258 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/performance/attendance/updatePunch]}" onto public com.example.demo.util.Result com.example.demo.controller.RegisterController.updatePunch(java.lang.Long,java.lang.String)
15:11:36.258 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/performance/attendance/deletePunch]}" onto public com.example.demo.util.Result com.example.demo.controller.RegisterController.delete_Punch(java.lang.Long,java.lang.String)
15:11:36.258 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/performance/attendance/searchPunch]}" onto public com.example.demo.util.Result com.example.demo.controller.RegisterController.getsearchPunch(java.lang.Integer,java.lang.Integer,java.lang.Long,java.lang.String,java.lang.String,java.lang.String)
15:11:36.258 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/analysis/getComplaintAnalysis]}" onto public com.example.demo.util.Result com.example.demo.controller.ServiceAnalysisController.getExpireContract(java.lang.Integer,java.lang.Integer) throws java.lang.Exception
15:11:36.259 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/analysis/searchComplaintAnalysis]}" onto public com.example.demo.util.Result com.example.demo.controller.ServiceAnalysisController.searchComplaintAnalysis(java.lang.Integer,java.lang.Integer,java.lang.String) throws java.lang.Exception
15:11:36.259 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/performance/trail/getTrailList]}" onto public com.example.demo.util.Result com.example.demo.controller.TrailController.getTrailList(java.lang.Integer,java.lang.Integer)
15:11:36.260 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/performance/trail/searchTrail]}" onto public com.example.demo.util.Result com.example.demo.controller.TrailController.searchTrail(java.lang.Integer,java.lang.Integer,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
15:11:36.260 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/performance/trail/deleteTrail]}" onto public com.example.demo.util.Result com.example.demo.controller.TrailController.deleteTrail(java.lang.Long)
15:11:36.261 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/staff/getStaffsList]}" onto public com.example.demo.util.Result com.example.demo.controller.UserController.getStaffsList(java.lang.Integer,java.lang.Integer)
15:11:36.261 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/staff/searchStaffs]}" onto public com.example.demo.util.Result com.example.demo.controller.UserController.getsearchClients(java.lang.Integer,java.lang.Integer,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
15:11:36.261 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/staff/addStaffs]}" onto public com.example.demo.util.Result com.example.demo.controller.UserController.add_Staffs(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
15:11:36.261 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/staff/modifyStaffs]}" onto public com.example.demo.util.Result com.example.demo.controller.UserController.modify_Clients(java.lang.Long,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
15:11:36.261 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/staff/deleteStaffs]}" onto public com.example.demo.util.Result com.example.demo.controller.UserController.delete_Clients(java.lang.Long)
15:11:36.262 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/staff/compeleteStaffInfo]}" onto public com.example.demo.util.Result com.example.demo.controller.UserController.compeleteStaffInfo(java.lang.String)
15:11:36.262 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/admin/getMessage],methods=[GET]}" onto public com.example.demo.util.Result com.example.demo.controller.AdminController.getMessage()
15:11:36.263 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/complaint/getComplaintList]}" onto public com.example.demo.util.Result com.example.demo.controller.ComplaintController.getComplaintList(java.lang.Integer,java.lang.Integer,java.lang.Long)
15:11:36.263 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/complaint/searchComplaintList]}" onto public com.example.demo.util.Result com.example.demo.controller.ComplaintController.searchComplaintList(java.lang.Integer,java.lang.Integer,java.lang.Long,java.lang.String,java.lang.String,java.lang.Long,java.lang.String,java.lang.String)
15:11:36.264 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/complaint/addComplaint]}" onto public com.example.demo.util.Result com.example.demo.controller.ComplaintController.add_Complaint(java.lang.Long,java.lang.String,java.lang.String,java.lang.String) throws java.lang.Exception
15:11:36.264 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/complaint/modifyComplaint]}" onto public com.example.demo.util.Result com.example.demo.controller.ComplaintController.modify_Complaint(java.lang.Long,java.lang.Long,java.lang.String,java.lang.String,java.lang.String)
15:11:36.264 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/complaint/deleteComplaint]}" onto public com.example.demo.util.Result com.example.demo.controller.ComplaintController.delete_Complaint(java.lang.Long)
15:11:36.264 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/complaint/startHandle]}" onto public com.example.demo.util.Result com.example.demo.controller.ComplaintController.startHandle(java.lang.Long)
15:11:36.264 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/complaint/completeHandle]}" onto public com.example.demo.util.Result com.example.demo.controller.ComplaintController.completeHandle(java.lang.Long)
15:11:36.264 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/complaint/reHandle]}" onto public com.example.demo.util.Result com.example.demo.controller.ComplaintController.reHandle(java.lang.Long)
15:11:36.264 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/complaint/cancelHandle]}" onto public com.example.demo.util.Result com.example.demo.controller.ComplaintController.cancelHandle(java.lang.Long)
15:11:36.265 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/client/searchClients]}" onto public com.example.demo.util.Result com.example.demo.controller.CustomerController.getsearchClients(java.lang.Integer,java.lang.Integer,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
15:11:36.265 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/client/modifyClients]}" onto public com.example.demo.util.Result com.example.demo.controller.CustomerController.modify_Clients(java.lang.Long,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
15:11:36.266 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/client/deleteClients]}" onto public com.example.demo.util.Result com.example.demo.controller.CustomerController.delete_Clients(java.lang.Long)
15:11:36.266 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/client/getClientsList]}" onto public com.example.demo.util.Result com.example.demo.controller.CustomerController.getCustomersList(java.lang.Integer,java.lang.Integer)
15:11:36.266 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/client/addClients]}" onto public com.example.demo.util.Result com.example.demo.controller.CustomerController.add_Clients(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String) throws java.lang.Exception
15:11:36.266 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/client/compeleteClientInfo]}" onto public com.example.demo.util.Result com.example.demo.controller.CustomerController.compeleteClientInfo(java.lang.String)
15:11:36.267 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/file/file]}" onto public java.lang.String com.example.demo.controller.FileUploadController.file()
15:11:36.268 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/file/fileUpload]}" onto public com.example.demo.util.Result com.example.demo.controller.FileUploadController.fileUpload(org.springframework.web.multipart.MultipartFile,java.lang.Long)
15:11:36.268 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/file/fileDownload]}" onto public java.lang.String com.example.demo.controller.FileUploadController.downLoad(javax.servlet.http.HttpServletResponse,java.lang.Long) throws java.lang.Exception
15:11:36.268 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/file/multifile]}" onto public java.lang.String com.example.demo.controller.FileUploadController.multifile()
15:11:36.268 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/file/multifileUpload],methods=[POST]}" onto public java.lang.String com.example.demo.controller.FileUploadController.multifileUpload(javax.servlet.http.HttpServletRequest,java.lang.Long)
15:11:36.270 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/inspection/completeHandle]}" onto public com.example.demo.util.Result com.example.demo.controller.InspectionController.completeHandle(java.lang.Long)
15:11:36.270 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/inspection/getInspectionList]}" onto public com.example.demo.util.Result com.example.demo.controller.InspectionController.getInspectionList(java.lang.Integer,java.lang.Integer,java.lang.Long)
15:11:36.270 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/inspection/searchInspection]}" onto public com.example.demo.util.Result com.example.demo.controller.InspectionController.searchInspection(java.lang.Integer,java.lang.Integer,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.Long,java.lang.String)
15:11:36.270 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/inspection/inspection]}" onto public com.example.demo.util.Result com.example.demo.controller.InspectionController.getInspection(java.lang.Long)
15:11:36.270 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/inspection/addInspection]}" onto public com.example.demo.util.Result com.example.demo.controller.InspectionController.add_Inspection(java.lang.Long,java.lang.Long,java.lang.String,java.lang.String) throws java.lang.Exception
15:11:36.271 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/inspection/modifyInspection]}" onto public com.example.demo.util.Result com.example.demo.controller.InspectionController.modify_Inspection(java.lang.Long,java.lang.Long,java.lang.Long,java.lang.String,java.lang.String) throws java.lang.Exception
15:11:36.271 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/inspection/deleteInspection]}" onto public com.example.demo.util.Result com.example.demo.controller.InspectionController.delete_Inspection(java.lang.Long)
15:11:36.271 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/inspection/cancelInspection]}" onto public com.example.demo.util.Result com.example.demo.controller.InspectionController.cancelInspection(java.lang.Long) throws java.lang.Exception
15:11:36.271 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/inspection/rehandleInspection]}" onto public com.example.demo.util.Result com.example.demo.controller.InspectionController.rehandleInspection(java.lang.Long) throws java.lang.Exception
15:11:36.271 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/inspection/getInspectionDeviceTable]}" onto public com.example.demo.util.Result com.example.demo.controller.InspectionController.getInspectionDeviceTable(java.lang.Long)
15:11:36.271 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/inspection/addInspectionTable]}" onto public com.example.demo.util.Result com.example.demo.controller.InspectionController.add_InspectionTable(java.lang.Long,java.lang.Long,java.lang.String)
15:11:36.272 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/inspection/completeDeviceInfo]}" onto public com.example.demo.util.Result com.example.demo.controller.InspectionController.completeDeviceInfo(java.lang.Long,java.lang.String)
15:11:36.272 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/inspection/getInspectionResult]}" onto public com.example.demo.util.Result com.example.demo.controller.InspectionController.getInspectionResult(java.lang.Long,java.lang.Long)
15:11:36.272 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/inspection/addInspectionResult]}" onto public com.example.demo.util.Result com.example.demo.controller.InspectionController.add_InspectionResult(java.lang.Long,java.lang.Long,java.lang.String,java.lang.String,java.lang.Long,java.lang.String,java.lang.String)
15:11:36.272 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/permiss/modifyPassword]}" onto public com.example.demo.util.Result com.example.demo.controller.PermissionController.modifyPermiss(java.lang.Long,java.lang.String)
15:11:36.272 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/permiss/checkPassword]}" onto public com.example.demo.util.Result com.example.demo.controller.PermissionController.checkPermiss(java.lang.Long,java.lang.String)
15:11:36.273 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/permiss/modifyRole]}" onto public com.example.demo.util.Result com.example.demo.controller.PermissionController.modifyRole(java.lang.String,java.lang.String)
15:11:36.274 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/wxapp/complaint]}" onto public com.example.demo.util.Result com.example.demo.controller.WeixinController.getStaffsList(java.lang.String,java.lang.String) throws java.lang.Exception
15:11:36.275 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/wxapp/getInspection]}" onto public com.example.demo.util.Result com.example.demo.controller.WeixinController.getInspection(java.lang.String,java.lang.String,java.lang.Integer,java.lang.Integer) throws java.lang.Exception
15:11:36.275 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/wxapp/maintenance]}" onto public com.example.demo.util.Result com.example.demo.controller.WeixinController.addRepair(java.lang.String,java.lang.String,java.lang.String) throws java.lang.Exception
15:11:36.275 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/wxapp/getMaintenance]}" onto public com.example.demo.util.Result com.example.demo.controller.WeixinController.getMaintenance(java.lang.String,java.lang.Integer,java.lang.Integer) throws java.lang.Exception
15:11:36.275 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/wxapp/getMaintenanceTable]}" onto public com.example.demo.util.Result com.example.demo.controller.WeixinController.getMaintenanceTable(java.lang.String,java.lang.Long) throws java.lang.Exception
15:11:36.276 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/wxapp/confirmMaintenance]}" onto public com.example.demo.util.Result com.example.demo.controller.WeixinController.confirmMaintenance(java.lang.String,java.lang.Long) throws java.lang.Exception
15:11:36.276 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/wxapp/getInspectionTable]}" onto public com.example.demo.util.Result com.example.demo.controller.WeixinController.getInspectionTable(java.lang.String,java.lang.Long) throws java.lang.Exception
15:11:36.276 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/wxapp/confirmInspection]}" onto public com.example.demo.util.Result com.example.demo.controller.WeixinController.confirmInspection(java.lang.String,java.lang.Long) throws java.lang.Exception
15:11:36.276 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/wxapp/login],methods=[POST]}" onto public com.example.demo.util.Result com.example.demo.controller.WeixinController.postlogin(java.lang.String) throws java.lang.Exception
15:11:36.276 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/wxapp/login2],methods=[POST]}" onto public com.example.demo.util.Result com.example.demo.controller.WeixinController.getlogin(java.lang.String,java.lang.String,java.lang.String) throws java.lang.Exception
15:11:36.278 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/contract/getDevices]}" onto public com.example.demo.util.Result com.example.demo.controller.ContractController.getDevices(java.lang.Integer,java.lang.Integer,java.lang.Long)
15:11:36.278 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/contract/searchDevice]}" onto public com.example.demo.util.Result com.example.demo.controller.ContractController.searchDevice(java.lang.Integer,java.lang.Integer,java.lang.Long,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
15:11:36.278 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/contract/deleteDevice]}" onto public com.example.demo.util.Result com.example.demo.controller.ContractController.delete_Device(java.lang.Long,java.lang.Long)
15:11:36.279 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/contract/modifyDevice]}" onto public com.example.demo.util.Result com.example.demo.controller.ContractController.modify_Device(java.lang.Long,java.lang.Long,java.lang.String)
15:11:36.279 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/contract/addDevice]}" onto public com.example.demo.util.Result com.example.demo.controller.ContractController.add_Device(java.lang.Long,java.lang.Long,java.lang.String)
15:11:36.279 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/contract/getContractList]}" onto public com.example.demo.util.Result com.example.demo.controller.ContractController.getContractList(java.lang.Integer,java.lang.Integer)
15:11:36.279 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/contract/searchContract]}" onto public com.example.demo.util.Result com.example.demo.controller.ContractController.searchContract(java.lang.Integer,java.lang.Integer,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)
15:11:36.283 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/contract/deleteContract]}" onto public com.example.demo.util.Result com.example.demo.controller.ContractController.delete_Contract(java.lang.Long)
15:11:36.283 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/contract/addContract]}" onto public com.example.demo.util.Result com.example.demo.controller.ContractController.add_Contract(java.lang.Long,java.lang.Long,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String) throws java.lang.Exception
15:11:36.283 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/contract/modifyContract]}" onto public com.example.demo.util.Result com.example.demo.controller.ContractController.modify_Contract(java.lang.Long,java.lang.Long,java.lang.Long,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String) throws java.lang.Exception
15:11:36.283 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/contract/completeContractInfo]}" onto public com.example.demo.util.Result com.example.demo.controller.ContractController.completeContractInfo(java.lang.String)
15:11:36.283 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/contract/downloadDeviceCode]}" onto public com.example.demo.util.Result com.example.demo.controller.ContractController.downloadDeviceCode(java.lang.String,javax.servlet.http.HttpServletResponse)
15:11:36.284 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/contract/completeProductInfo]}" onto public com.example.demo.util.Result com.example.demo.controller.ContractController.completeProductInfo(java.lang.String)
15:11:36.284 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/home/getExpireContract]}" onto public com.example.demo.util.Result com.example.demo.controller.HomeController.getExpireContract(java.lang.Integer,java.lang.Integer) throws java.lang.Exception
15:11:36.285 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/home/getInspectionInfo]}" onto public com.example.demo.util.Result com.example.demo.controller.HomeController.getInspectionInfo(java.lang.Integer,java.lang.Integer,java.lang.String) throws java.lang.Exception
15:11:36.285 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/home/getRepairNotice]}" onto public com.example.demo.util.Result com.example.demo.controller.HomeController.getRepairNotice(java.lang.Integer,java.lang.Integer) throws java.lang.Exception
15:11:36.286 sms [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/web/service/maintenance/completeHandle]}" onto public com.example.demo.util.Result com.example.demo.controller.MaintenanceController.completeHandle(java.lang.Long)
